t1, latitude, longitude, t2, LV_voltage, t3, BMS_volt_min, BMS_volt_max, BMS_volt_avg, BMS_volt_tot, t4, BMS_current, BMS_charge, t5, Accel_x, Accel_y, Accel_z, t6, BMS_temp_min, BMS_temp_max, BMS_temp_avg, t7, MC_motor_temp, t8, MC_power_stage_temp, t9, MC_air_temp, t10, MC_actual_speed, MC_actual_current, MC_output_voltage, MC_motor_power, MC_cmd_current, MC_DC_bus_voltage, t11, gyro_x, gyro_y, gyro_z        
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.88373423,-0.19140625,-0.98437500,-0.00390625,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.98559713,-0.21875000,-0.98437500,0.00000000,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.08384037,-0.25000000,-1.03906250,-0.00390625,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.18442822,-0.17187500,-0.93359375,-0.02734375,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.28471899,-0.18750000,-0.93750000,-0.00781250,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.38375807,-0.22656250,-1.00390625,-0.05078125,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
2.99449015,52.00055380,4.03738970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.48971128,-0.21875000,-1.01562500,0.00000000,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.58466721,-0.26953125,-0.97656250,-0.00390625,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.68499994,-0.17187500,-1.03515625,-0.03515625,NaN,127.00000000,127.00000000,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,127.00000000,NaN,NaN,NaN,127.00000000,127.00000000,127.00000000,NaN,NaN,127.00000000,127.00000000,127.00000000
