6.52591;52.96319
6.52881;52.96460
6.52888;52.96463
6.52892;52.96464
6.52896;52.96465
6.52900;52.96466
6.52904;52.96466
6.52907;52.96466
6.52910;52.96466
6.52915;52.96465
6.52923;52.96463
6.52930;52.96461
6.52937;52.96458
6.53090;52.96383
6.53094;52.96381
6.53097;52.96379
6.53099;52.96376
6.53100;52.96373
6.53101;52.96368
6.53103;52.96359
6.53126;52.96242
6.53126;52.96237
6.53125;52.96232
6.53123;52.96228
6.53121;52.96222
6.53117;52.96217
6.53113;52.96213
6.53107;52.96209
6.53101;52.96204
6.53093;52.96200
6.53084;52.96197
6.53077;52.96195
6.53070;52.96193
6.53061;52.96192
6.53053;52.96191
6.53045;52.96191
6.53036;52.96191
6.53029;52.96192
6.53021;52.96193
6.53013;52.96194
6.53004;52.96196
6.52990;52.96199
6.52977;52.96204
6.52965;52.96208
6.52953;52.96215
6.52944;52.96220
6.52937;52.96227
6.52933;52.96235
6.52931;52.96244
6.52931;52.96252
6.52934;52.96259
6.52942;52.96272
6.52968;52.96299
6.52977;52.96307
6.52982;52.96313
6.52985;52.96318
6.52986;52.96322
6.52987;52.96326
6.52987;52.96332
6.52985;52.96337
6.52982;52.96343
6.52979;52.96347
6.52975;52.96350
6.52969;52.96353
6.52963;52.96355
6.52957;52.96356
6.52949;52.96356
6.52942;52.96355
6.52933;52.96351
6.52925;52.96346
6.52915;52.96340
6.52886;52.96313
6.52874;52.96297
6.52849;52.96263
6.52834;52.96232
6.52816;52.96206
6.52782;52.96169
6.52620;52.96016
6.52601;52.96001
6.52600;52.96000
6.52569;52.95976
6.52320;52.95777
6.52316;52.95773
6.52313;52.95772
6.52311;52.95770
6.52308;52.95769
6.52306;52.95768
6.52303;52.95767
6.52299;52.95766
6.52295;52.95765
6.52292;52.95765
6.52288;52.95764
6.52284;52.95764
6.52258;52.95765
6.52243;52.95764
6.52230;52.95763
6.52217;52.95760
6.52206;52.95758
6.52192;52.95755
6.52185;52.95753
6.52179;52.95751
6.52175;52.95750
6.52172;52.95748
6.52165;52.95745
6.52159;52.95743
6.52152;52.95739
6.52151;52.95738
6.52141;52.95731
6.52129;52.95722
6.52124;52.95717
